District,Longitude,Latitude,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/25/20,8/26/20,8/27/20,8/28/20,8/29/20,8/30/20,8/31/20,9/1/20,9/2/20,9/3/20,9/4/20,9/5/20,9/6/20,9/7/20,9/8/20,9/9/20,9/10/20,9/11/20,9/12/20,9/13/20,9/14/20,9/15/20,9/16/20,9/17/20,9/18/20,9/19/20,9/20/20,9/21/20,9/22/20,9/23/20,9/24/20,9/25/20,9/26/20,9/27/20,9/28/20,9/29/20,9/30/20,10/1/20,10/2/20,10/3/20,10/4/20,10/5/20,10/6/20,10/7/20,10/8/20,10/9/20,10/10/20,10/11/20,10/12/20,10/13/20,10/14/20,10/15/20,10/16/20,10/17/20,10/18/20,10/19/20,10/20/20,10/21/20,10/22/20,10/23/20,10/24/20,10/25/20,10/26/20,10/27/20,10/28/20,10/29/20,10/30/20,10/31/20,11/1/20,11/2/20,11/3/20,11/4/20,11/5/20,11/6/20,11/7/20,11/8/20,11/9/20,11/10/20,11/11/20,11/12/20,11/13/20,11/14/20,11/15/20,11/16/20,11/17/20,11/18/20,11/19/20,11/20/20,11/21/20,11/22/20,11/23/20,11/24/20,11/25/20,11/26/20,11/27/20,11/28/20,11/29/20,11/30/20,12/1/20,12/2/20,12/3/20,12/4/20,12/5/20,12/6/20,12/7/20,12/8/20,12/9/20,12/10/20,12/11/20,12/12/20,12/13/20,12/14/20,12/15/20,12/16/20,12/17/20,12/18/20,12/19/20,12/20/20,12/21/20,12/22/20,12/23/20,12/24/20,12/25/20,12/26/20,12/27/20,12/28/20,12/29/20,12/30/20,12/31/20,1/1/21,1/2/21,1/3/21,1/4/21,1/5/21,1/6/21,1/7/21,1/8/21,1/9/21,1/10/21,1/11/21,1/12/21,1/13/21,1/14/21,1/15/21,1/16/21,1/17/21,1/18/21,1/19/21,1/20/21,1/21/21,1/22/21,1/23/21,1/24/21,1/25/21,1/26/21,1/27/21,1/28/21,1/29/21,1/30/21,1/31/21,2/1/21,2/2/21,2/3/21,2/4/21,2/5/21,2/6/21,2/7/21,2/8/21,2/9/21,2/10/21,2/11/21,2/12/21,2/13/21,2/14/21,2/15/21,2/16/21,2/17/21,2/18/21
NC-05,-80.64819,36.19208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,4,9,11,15,15,15,18,22,24,33,43,47,53,60,80,88,112,117,130,141,149,154,158,162,164,170,173,176,175,176,180,181,182,185,196,200,210,223,227,242,258,284,330,366,419,464,485,502,560,613,655,691,764,780,804,892,1005,1230,1320,1378,1421,1472,1527,1616,1682,1772,1824,1859,1917,1985,2069,2185,2292,2412,2474,2532,2604,2744,2870,2945,3019,3083,3157,3197,3261,3384,3484,3576,3639,3688,3751,3816,3936,3999,4040,4122,4179,4259,4322,4436,4558,4644,4736,4778,4886,4956,5038,5108,5203,5303,5400,5459,5572,5685,5770,5853,5941,6046,6165,6319,6428,6591,6702,6777,6880,6952,7089,7202,7299,7384,7464,7580,7679,7829,7929,8049,8160,8306,8410,8469,8598,8759,8897,8981,9057,9115,9222,9338,9455,9554,9631,9687,9767,9837,9935,10045,10133,10192,10275,10345,10414,10510,10604,10700,10786,10839,10901,10992,11068,11195,11323,11388,11441,11493,11575,11629,11709,11824,11911,11962,12037,12115,12183,12276,12351,12412,12462,12523,12593,12706,12834,12919,13000,13072,13159,13211,13214,13387,13547,13684,13752,13936,14042,14142,14325,14473,14661,14796,14892,15014,15197,15401,15619,15813,16020,16111,16228,16381,16525,16697,17048,17220,17385,17537,17751,17986,18291,18523,18762,18905,19060,19286,19551,19866,20165,20461,20601,20839,21108,21417,21597,21959,22266,22452,22810,23211,23625,23990,24346,24731,25001,25257,25672,25672,26445,26664,27075,27371,27600,27967,28338,28881,29374,29936,30305,30820,31471,31879,32506,33033,33604,34049,34530,34948,35347,35931,36544,37057,37373,37889,38403,38403,38403,39896,40095,40343,40597,41326,41791,41791,43229,43635,43976,44386,44903,45654,46340,47259,47904,48261,48691,48947,49656,50246,50877,51436,51436,51963,52459,52881,53471,53987,54441,54726,54967,55389,55859,56204,56204,56974,57232,57419,58322,58720,59114,59475,59963,60251,60554,60868,61267,61572,61917,62157,62353,62524,62775,63051
NC-06,-79.49300,35.94852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,3,3,5,6,7,8,12,16,18,27,32,39,40,48,53,61,67,80,89,94,107,114,125,141,152,202,204,215,225,243,268,288,319,340,362,395,483,550,599,657,709,754,791,852,911,981,1033,1054,1084,1120,1195,1242,1275,1348,1382,1406,1440,1496,1548,1623,1654,1668,1698,1743,1796,1859,1922,1959,2011,2049,2086,2136,2214,2282,2346,2404,2436,2491,2605,2692,2749,2793,2869,2945,3013,3103,3201,3312,3391,3462,3520,3572,3666,3763,3900,3970,4005,4044,4104,4172,4266,4371,4456,4508,4556,4663,4724,4816,4902,4994,5047,5093,5175,5269,5336,5411,5526,5615,5690,5811,5886,5981,6132,6196,6294,6355,6460,6602,6727,6816,6889,6951,7086,7150,7288,7413,7525,7592,7691,7749,7823,7953,8035,8133,8216,8266,8317,8381,8484,8558,8643,8718,8784,8847,8917,9024,9117,9221,9314,9393,9447,9545,9675,9774,9831,10018,10089,10169,10229,10360,10472,10563,10603,10655,10685,10730,10800,10920,10985,11068,11111,11170,11244,11312,11422,11518,11591,11646,11728,11789,11904,12005,12108,12175,12226,12303,12326,12326,12462,12655,12818,12837,12998,13087,13180,13352,13488,13672,13839,13938,14054,14195,14357,14593,14783,14935,15027,15094,15185,15349,15483,15718,15852,15991,16118,16225,16452,16662,16885,17005,17093,17277,17365,17586,17794,17932,18085,18216,18360,18522,18710,18811,19035,19254,19373,19570,19758,19923,20246,20411,20756,20865,21110,21384,21384,21937,22110,22301,22462,22624,22859,23103,23405,23773,24103,24384,24633,24992,25333,25739,26056,26424,26744,27031,27332,27564,28067,28350,28723,28930,29235,29616,29616,29616,30758,30867,31097,31322,31747,32098,32098,33289,33581,33856,34161,34537,35072,35698,36322,36818,37109,37436,37711,38161,38686,39276,39720,39720,40208,40610,40910,41408,41851,42167,42394,42615,42909,43262,43636,43636,44293,44499,44651,45304,45668,46008,46271,46541,46670,46910,47075,47335,47543,47802,48027,48159,48286,48465,48664
NC-07,-78.11379,34.60874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,4,6,9,14,15,19,26,28,30,36,38,46,51,56,66,80,85,94,117,125,139,163,181,201,218,228,241,253,277,431,514,674,790,810,820,850,888,926,952,967,998,1025,1108,1150,1193,1223,1246,1279,1322,1387,1450,1533,1603,1649,1680,1714,1802,1867,1950,2015,2085,2178,2219,2360,2502,2614,2704,2783,2825,2903,2940,3053,3165,3265,3351,3404,3461,3615,3745,3847,3971,4110,4162,4236,4366,4561,4699,4844,4986,5060,5132,5286,5468,5645,5782,5885,6006,6157,6303,6442,6604,6759,6879,6978,7155,7324,7489,7603,7699,7789,7894,8064,8221,8336,8488,8628,8754,8967,9131,9261,9384,9545,9693,9748,9900,10045,10203,10325,10457,10588,10693,10841,10972,11172,11283,11428,11493,11587,11664,11734,11850,11952,12100,12173,12217,12343,12462,12589,12683,12784,12834,12871,12988,13104,13194,13299,13386,13437,13490,13594,13673,13769,13881,13978,14065,14140,14289,14377,14550,14731,14839,14968,15044,15117,15201,15362,15485,15608,15685,15745,15867,15996,16136,16258,16419,16505,16544,16640,16752,16889,17014,17139,17217,17239,17319,17391,17399,17544,17669,17819,17882,18047,18197,18369,18514,18709,18879,18985,19085,19214,19365,19552,19747,19931,20096,20170,20262,20475,20713,20856,21154,21271,21407,21556,21764,21973,22136,22369,22529,22590,22746,22965,23172,23412,23565,23713,23851,24002,24227,24475,24622,24913,25098,25250,25467,25684,26056,26379,26629,27020,27192,27383,27628,27628,28262,28506,28770,28913,29113,29359,29751,30076,30370,30759,30935,31144,31518,31883,32433,32718,33103,33311,33596,33849,34163,34644,34957,35359,35550,35833,36093,36093,36093,37435,37548,37763,37924,38471,38769,38769,39985,40330,40570,40823,41236,41990,42658,43215,43661,43961,44281,44642,45245,45758,46181,46584,46584,46971,48250,48572,49202,49717,50051,50353,50612,51017,51479,51921,51921,52852,53093,53303,53986,54427,54748,55079,55367,55586,55784,56040,56416,56787,57157,57410,57541,57724,57972,58345
NC-08,-80.22063,35.40522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,4,7,11,15,16,19,23,29,39,50,57,69,84,93,109,122,141,154,169,185,223,259,278,309,343,494,522,534,556,570,598,607,614,628,666,686,744,785,814,836,865,911,934,965,986,1011,1016,1043,1089,1111,1145,1162,1171,1184,1203,1223,1244,1267,1298,1308,1329,1374,1410,1446,1490,1545,1567,1590,1604,1643,1660,1704,1767,1809,1876,1902,1940,1981,2041,2101,2154,2204,2244,2289,2360,2450,2542,2608,2678,2710,2755,2827,2922,3005,3085,3183,3220,3311,3395,3501,3621,3742,3848,3929,4037,4133,4284,4409,4505,4584,4650,4779,4910,5018,5189,5307,5394,5497,5607,5710,5839,6012,6117,6177,6255,6368,6513,6650,6772,6871,6970,7100,7208,7325,7437,7547,7666,7748,7838,7945,8104,8233,8345,8438,8511,8592,8705,8850,8948,9051,9126,9204,9271,9343,9477,9613,9757,9910,9993,10100,10164,10332,10444,10555,10668,10736,10820,10912,11048,11183,11263,11346,11412,11466,11535,11600,11719,11848,11933,11988,12077,12155,12276,12373,12471,12552,12607,12685,12768,12889,13055,13167,13263,13328,13415,13474,13497,13695,13809,13969,13994,14152,14223,14295,14437,14550,14696,14805,14891,14964,15067,15226,15336,15448,15587,15639,15705,15796,15893,15990,16109,16179,16257,16357,16458,16551,16657,16787,16928,17022,17127,17244,17411,17521,17678,17789,17888,18043,18239,18406,18567,18816,19013,19113,19306,19498,19715,19943,20087,20398,20583,20784,20995,20995,21446,21653,21882,22094,22285,22559,22948,23320,23681,24173,24511,24783,25226,25618,26098,26515,26957,27292,27641,28038,28419,28973,29403,29850,30189,30602,31089,31089,31089,32363,32593,32823,33034,33664,34058,34058,35450,35859,36336,36725,37190,37824,38480,39172,39826,40254,40669,40959,41654,42207,42789,43225,43225,43731,44266,44630,45220,45690,46033,46338,46694,47054,47399,47741,47741,48421,48685,48890,49840,50170,50475,50712,51057,51243,51427,51661,51952,52185,52471,52657,52802,52948,53163,53409
NC-09,-79.52379,34.92874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,14,18,20,25,35,39,46,53,57,65,71,88,104,113,128,135,158,170,179,196,211,222,224,234,250,263,298,312,326,349,384,410,462,519,559,576,612,663,703,789,835,902,917,940,992,1044,1108,1147,1208,1245,1257,1304,1345,1427,1516,1597,1616,1622,1680,1718,1792,1865,1927,1963,1995,2020,2080,2146,2260,2311,2351,2373,2431,2463,2551,2603,2686,2717,2763,2821,2862,2948,3009,3078,3121,3160,3240,3303,3365,3459,3555,3620,3677,3743,3816,3908,3978,4070,4175,4236,4366,4478,4633,4775,4860,4939,5046,5197,5316,5526,5686,5845,5987,6076,6259,6409,6594,6809,7024,7147,7248,7403,7541,7745,7943,8110,8291,8521,8726,8848,9071,9226,9407,9534,9644,9795,9919,10065,10223,10368,10494,10551,10701,10815,10980,11202,11405,11554,11629,11778,11924,12134,12288,12447,12564,12656,12810,12956,13156,13349,13514,13623,13745,13885,14034,14278,14436,14599,14720,14805,14904,15004,15176,15347,15515,15613,15715,15845,16010,16219,16373,16530,16633,16726,16832,16947,17151,17311,17510,17651,17718,17825,17972,17982,18220,18368,18588,18676,18849,19025,19223,19468,19620,19832,20029,20104,20265,20461,20698,20935,21075,21262,21368,21523,21689,21857,21990,22231,22332,22451,22588,22771,22958,23110,23272,23454,23545,23722,23974,24190,24381,24566,24691,24781,24965,25216,25390,25497,25740,25949,26070,26317,26528,26823,27126,27345,27657,27825,28048,28342,28342,28907,29109,29361,29548,29752,30077,30492,30902,31290,31758,32035,32360,32827,33287,33837,34287,34693,35093,35532,35927,36392,37026,37582,38109,38446,38795,39222,39222,39222,40638,40880,41209,41520,42331,42804,42804,44324,44687,45139,45552,46263,47018,48020,48804,49556,50012,50507,51053,51948,52617,53265,53785,53785,54337,55039,55588,56323,57031,57476,57902,58300,58792,59318,59806,59806,60838,61076,61372,62457,62960,63343,63782,64146,64336,64610,64963,65316,65660,65944,66189,66334,66530,66776,67063
NC-10,-81.55778,35.46228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,4,8,13,20,28,36,51,59,69,75,87,97,110,129,146,157,176,189,205,223,244,257,266,273,283,305,323,334,354,360,365,376,399,418,428,446,455,459,466,500,509,515,528,545,550,560,583,594,607,622,633,644,651,677,714,745,767,782,796,831,884,919,944,973,995,1032,1065,1096,1144,1200,1235,1263,1299,1338,1393,1445,1511,1549,1583,1606,1647,1714,1809,1918,1995,2051,2119,2171,2279,2387,2487,2580,2641,2699,2776,2888,2979,3098,3199,3322,3425,3550,3643,3852,3962,4094,4264,4425,4549,4725,4908,5158,5349,5563,5772,5945,6143,6341,6559,6755,6926,7121,7294,7567,7782,7960,8164,8307,8513,8653,8842,9058,9259,9394,9507,9718,9818,10047,10244,10417,10519,10608,10739,10882,11046,11224,11411,11566,11650,11751,11917,12075,12297,12452,12556,12655,12746,12840,12984,13143,13262,13344,13426,13496,13574,13733,13832,13954,14061,14138,14223,14353,14450,14609,14779,14869,14955,15070,15238,15400,15588,15722,15844,15947,16083,16188,16371,16559,16721,16866,16961,17094,17190,17211,17455,17651,17979,18041,18287,18462,18709,18966,19198,19469,19630,19810,20018,20241,20462,20830,21056,21340,21462,21688,21930,22208,22413,22758,22960,23112,23396,23650,23959,24338,24736,24978,25131,25398,25575,25834,26118,26399,26585,26726,27007,27251,27532,27676,28032,28380,28670,29048,29366,29680,30051,30359,30863,31136,31425,31867,31867,32585,32937,33320,33683,34007,34429,34997,35536,36121,36761,37145,37800,38570,39034,39959,40620,41298,41869,42474,43044,43578,44559,45355,46080,46733,47406,47950,47950,47950,50328,50650,51056,51381,52293,52919,52919,55123,55823,56476,57052,57815,58586,59721,60763,62028,62691,63346,63851,64767,65582,66564,67395,67395,68215,69112,69613,70365,71061,71628,72021,72423,72794,73364,73880,73880,75006,75417,75713,76416,76903,77289,77731,78109,78357,78610,78961,79260,79636,79992,80289,80524,80730,80990,81341
NC-11,-82.39295,35.58255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,6,12,17,21,30,32,38,40,50,59,66,72,103,115,126,127,149,178,187,201,227,230,234,242,249,258,273,287,293,296,306,322,337,341,352,367,401,427,437,449,464,473,488,493,516,530,559,577,585,598,612,640,667,699,713,729,740,757,788,834,863,892,928,941,989,1013,1097,1161,1215,1266,1316,1349,1414,1496,1556,1597,1651,1712,1771,1856,1915,1989,2062,2110,2245,2278,2334,2395,2456,2509,2518,2570,2608,2683,2748,2817,2912,2977,3045,3121,3199,3289,3356,3422,3489,3581,3689,3778,3872,3984,4089,4251,4343,4441,4589,4693,4826,4946,5070,5243,5353,5520,5669,5844,5961,6035,6162,6265,6432,6543,6698,6765,6826,6967,7032,7159,7284,7354,7407,7445,7527,7589,7676,7703,7781,7846,7891,7951,8009,8144,8257,8321,8366,8411,8458,8506,8583,8659,8730,8787,8842,8873,8923,9044,9099,9183,9236,9291,9298,9353,9400,9496,9567,9608,9648,9718,9755,9829,9902,9969,10019,10048,10105,10146,10239,10313,10474,10557,10601,10652,10698,10704,10831,10925,11056,11096,11265,11347,11399,11559,11686,11813,11918,12001,12095,12178,12335,12536,12693,12808,12874,12976,13083,13353,13550,13757,13870,13960,14148,14245,14452,14666,14820,14975,15037,15201,15345,15538,15690,15855,15951,15994,16192,16375,16515,16593,16836,17022,17116,17306,17538,17697,17967,18225,18476,18609,18774,19133,19133,19652,19859,20106,20277,20446,20699,20996,21374,21761,22185,22427,22818,23364,23694,24192,24647,25195,25585,25960,26317,26683,27336,27835,28342,28693,29117,29541,29541,29541,31162,31304,31530,31691,32293,32570,32570,34033,34410,34803,35134,35625,36147,36960,37632,38229,38672,39082,39404,39888,40550,41130,41583,41583,41960,42415,42797,43260,43692,44127,44361,44612,44964,45244,45649,45649,46382,46569,46756,47262,47507,47787,48008,48255,48367,48499,48693,49011,49256,49447,49595,49716,49807,49959,50138
NC-12,-80.83177,35.24469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,7,11,16,34,47,69,80,106,144,184,216,261,304,347,387,420,472,534,603,657,718,765,816,855,885,921,941,973,988,1006,1064,1106,1140,1155,1197,1232,1274,1339,1383,1426,1448,1477,1490,1537,1596,1633,1664,1697,1722,1746,1799,1888,1967,2007,2078,2111,2136,2200,2297,2366,2472,2558,2622,2665,2735,2840,2920,3057,3157,3272,3362,3428,3557,3742,3943,4110,4307,4390,4548,4758,4938,5200,5372,5610,5704,5837,6112,6421,6692,7016,7241,7406,7512,7792,8102,8344,8638,8893,9034,9261,9543,9879,10223,10530,10789,11085,11449,11745,12181,12508,12742,13060,13245,13433,13711,14126,14545,14954,15293,15633,15904,16274,16546,16931,17285,17520,17720,17973,18339,18676,18979,19247,19460,19692,19923,20251,20497,20745,20959,21155,21368,21555,21788,21998,22181,22360,22427,22610,22746,22917,23083,23222,23373,23462,23598,23755,23912,24107,24291,24446,24575,24753,24870,25099,25296,25435,25594,25726,25860,25988,26157,26312,26446,26550,26619,26712,26824,26895,27039,27135,27216,27285,27381,27496,27623,27740,27843,27931,27992,28100,28189,28296,28459,28608,28730,28789,28893,28958,28975,29132,29271,29414,29454,29593,29701,29829,29963,30088,30273,30366,30502,30670,30818,31074,31279,31442,31688,31820,32038,32264,32457,32583,32877,33065,33279,33552,33779,33988,34193,34473,34668,34871,35076,35390,35609,35845,36106,36311,36464,36844,37162,37399,37627,37984,38295,38526,38843,39166,39556,39880,40220,40754,41073,41392,41762,41762,42495,42933,43303,43661,43983,44428,44976,45627,46199,46983,47547,47986,48637,49234,49955,50535,51290,51896,52432,53076,53526,54463,55175,55944,56517,57131,57755,57755,57755,59704,60144,60618,61093,61990,62454,62454,64442,65134,65809,66419,67193,68155,69101,70128,71437,72177,72968,73477,74470,75261,76167,76895,76895,77736,78778,79436,80241,81137,81875,82572,83157,83816,84444,84990,84990,86394,86860,87233,88055,88564,89056,89511,90074,90473,90768,91133,91600,92022,92441,92803,93048,93325,93620,94018
NC-13,-80.14652,35.95626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,4,9,11,22,23,28,37,41,50,70,77,84,99,113,145,169,202,219,239,263,276,288,295,306,316,320,328,335,351,361,376,387,394,413,453,476,518,562,594,628,669,698,726,755,790,807,821,850,889,922,962,989,1025,1049,1097,1136,1189,1270,1334,1400,1418,1465,1502,1548,1598,1685,1725,1752,1789,1818,1864,1938,2010,2081,2139,2185,2286,2374,2475,2563,2637,2732,2799,2883,2961,3065,3190,3281,3336,3408,3494,3594,3739,3794,3862,3948,4037,4137,4244,4388,4520,4613,4678,4754,4895,5007,5154,5251,5330,5451,5540,5662,5806,5965,6128,6269,6394,6528,6665,6782,6893,7104,7211,7327,7494,7611,7771,7945,8031,8148,8282,8394,8495,8713,8837,8968,9037,9122,9246,9330,9457,9614,9762,9863,9921,10024,10102,10226,10315,10425,10528,10583,10685,10775,10958,11094,11192,11295,11389,11481,11563,11721,11869,11964,12099,12188,12273,12373,12501,12618,12746,12832,12918,12985,13065,13126,13288,13414,13514,13565,13689,13798,13909,14063,14177,14284,14349,14440,14507,14660,14773,14919,15011,15091,15197,15231,15232,15467,15586,15775,15811,15967,16086,16200,16407,16600,16830,16979,17101,17260,17465,17661,17840,17971,18130,18245,18359,18469,18636,18781,19025,19199,19363,19493,19674,19987,20250,20449,20597,20700,20921,21103,21377,21683,21960,22207,22340,22567,22872,23196,23339,23678,23965,24135,24490,24866,25187,25620,25979,26434,26643,27005,27415,27415,28153,28442,28831,29097,29356,29686,30163,30619,31131,31724,32208,32668,33295,33875,34517,35055,35604,36079,36626,37088,37546,38197,38820,39529,39866,40357,40912,40912,40912,42592,42872,43228,43475,44128,44681,44681,46459,47019,47589,48079,48630,49470,50335,51486,52312,52839,53512,53939,54766,55538,56448,57116,57116,57959,58740,59324,60095,60799,61521,62005,62400,62857,63536,64062,64062,65155,65534,65822,67136,67625,68120,68534,69005,69292,69562,69861,70225,70572,70916,71241,71460,71666,71946,72285
NC-9999,-75.71767,35.66521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,6,6,6,9,9,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,14,14,14,14,14,14,15,15,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,20,20,22,22,22,22,22,22,23,24,24,27,27,27,27,27,27,28,30,33,37,42,43,51,57,59,59,65,71,74,75,78,83,87,96,103,110,112,119,121,123,128,140,145,147,157,161,165,170,173,177,184,185,188,188,189,199,203,203,204,206,207,209,209,210,211,212,213,213,215,215,218,219,219,220,220,225,225,226,226,227,229,232,233,234,234,235,236,237,237,238,239,243,243,244,244,244,245,246,249,251,252,253,254,255,258,261,261,263,267,268,269,271,272,272,276,276,276,282,285,285,287,289,293,295,297,299,302,306,305,309,312,314,319,320,336,337,341,344,353,355,359,363,367,368,370,373,374,380,385,385,396,400,414,425,432,441,453,455,463,484,496,510,523,538,548,554,567,574,580,590,595,597,607,607,627,639,641,652,654,660,678,695,705,718,724,731,744,752,764,781,794,802,803,812,818,831,840,857,868,888,898,898,898,955,969,973,987,996,1024,1024,1083,1122,1143,1164,1167,1212,1241,1264,1285,1332,1346,1348,1384,1403,1439,1456,1456,1488,1523,1537,1555,1569,1598,1609,1615,1629,1646,1653,1653,1687,1698,1701,1719,1738,1740,1757,1765,1772,1776,1777,1790,1798,1803,1810,1816,1820,1819,1827
